lat,lon,type,description
50.039865,15.573969,Os5008,Stojí ve stanici v 11:49 <a href='https://www.cd.cz/vlak/5008' target='_blank'>info</a>
49.858619,16.708542,LE1355,Jede do Tatenice (úsek 1.31km) v 11:51 <a href='https://www.cd.cz/vlak/1355' target='_blank'>info</a>
49.934242,17.909244,Sp1614,Stojí ve stanici v 11:43 <a href='https://www.cd.cz/vlak/1614' target='_blank'>info</a>
49.598602,15.58792,Os5905,Stojí ve stanici v 11:36 <a href='https://www.cd.cz/vlak/5905' target='_blank'>info</a>
49.839199,16.918211,EC116,Jede do Zábřeh na Moravě (úsek 5.85km) v 11:53 <a href='https://www.cd.cz/vlak/116' target='_blank'>info</a>
49.08126,14.061289,Os18007,Stojí ve stanici v 11:48 <a href='https://www.cd.cz/vlak/18007' target='_blank'>info</a>
49.345407,17.304864,R910,Jede do Kojetín (úsek 0.52km) v 11:53 <a href='https://www.cd.cz/vlak/910' target='_blank'>info</a>
50.658144,14.02982,Os6408,Stojí ve stanici v 11:51 <a href='https://www.cd.cz/vlak/6408' target='_blank'>info</a>
49.598602,15.58792,Os8354,Stojí ve stanici v 11:50 <a href='https://www.cd.cz/vlak/8354' target='_blank'>info</a>
50.511591,13.658103,Os7055,Stojí ve stanici v 11:47 <a href='https://www.cd.cz/vlak/7055' target='_blank'>info</a>
49.524203,18.751307,Os2933,Stojí ve stanici v 11:53 <a href='https://www.cd.cz/vlak/2933' target='_blank'>info</a>
49.353593,17.33222,R838,Jede do Kojetín (úsek 4.86km) v 11:53 <a href='https://www.cd.cz/vlak/838' target='_blank'>info</a>
50.40803,15.562847,Sp1808,Jede do Šárovcova Lhota (úsek 3.1km) v 11:50 <a href='https://www.cd.cz/vlak/1808' target='_blank'>info</a>
50.08293,14.435587,Ex555,Stojí ve stanici v 11:37 <a href='https://www.cd.cz/vlak/555' target='_blank'>info</a>
50.656136,14.012397,Os6805,Jede do Ústí n.L.záp.vněj.n. (úsek 0.89km) v 11:55 <a href='https://www.cd.cz/vlak/6805' target='_blank'>info</a>
49.486409,17.180974,Os3719,Jede do Kraličky (úsek 2.05km) v 11:51 <a href='https://www.cd.cz/vlak/3719' target='_blank'>info</a>
49.335556,17.993501,Os3229,Stojí ve stanici v 11:53 <a href='https://www.cd.cz/vlak/3229' target='_blank'>info</a>
48.947217,16.624151,Os4615,Jede do Pouzdřany (úsek 3.1km) v 11:45 <a href='https://www.cd.cz/vlak/4615' target='_blank'>info</a>
50.385165,13.196206,R609,Stojí ve stanici v 11:52 <a href='https://www.cd.cz/vlak/609' target='_blank'>info</a>
50.508129,13.69062,Os6824,Jede do Most (úsek 3.97km) v 11:53 <a href='https://www.cd.cz/vlak/6824' target='_blank'>info</a>
49.612301,15.618504,R984,Jede do vl.v km 114.486 (úsek 3.33km) v 11:51 <a href='https://www.cd.cz/vlak/984' target='_blank'>info</a>
50.711728,14.390649,R1170,Jede do Žandov (úsek 1.05km) v 11:52 <a href='https://www.cd.cz/vlak/1170' target='_blank'>info</a>
50.166263,14.153499,Os9814,Jede do Kladno-Vrapice (úsek 1.7km) v 11:43 <a href='https://www.cd.cz/vlak/9814' target='_blank'>info</a>
50.330914,13.517812,R1084,Jede do Žatec západ (úsek 5.58km) v 11:50 <a href='https://www.cd.cz/vlak/1084' target='_blank'>info</a>
48.79773,14.135219,Os8145,Jede do Polečnice (úsek 2.09km) v 11:54 <a href='https://www.cd.cz/vlak/8145' target='_blank'>info</a>
49.735305,13.406983,Os8910,Jede do Plzeň hl.n.st.4 (úsek 1.85km) v 11:52 <a href='https://www.cd.cz/vlak/8910' target='_blank'>info</a>
49.226734,16.604125,Os4907,Jede do Km 6.370 (úsek 2.12km) v 11:54 <a href='https://www.cd.cz/vlak/4907' target='_blank'>info</a>
49.743659,13.388064,Os7415,Stojí ve stanici v 11:44 <a href='https://www.cd.cz/vlak/7415' target='_blank'>info</a>
49.614695,14.008559,Os7907,Jede do Ostrov u Tochovic (úsek 3.44km) v 11:49 <a href='https://www.cd.cz/vlak/7907' target='_blank'>info</a>
50.954328,14.537591,Os6654,Jede do Rumburk (úsek 5.85km) v 11:43 <a href='https://www.cd.cz/vlak/6654' target='_blank'>info</a>
48.974485,14.48878,Os8009,Stojí ve stanici v 11:55 <a href='https://www.cd.cz/vlak/8009' target='_blank'>info</a>
49.748544,13.322375,Ex557,Jede do Plzeň-Zadní Skvrňany (úsek 1.7km) v 11:54 <a href='https://www.cd.cz/vlak/557' target='_blank'>info</a>
49.923707,14.015223,Os7807,Jede do Králův Dvůr-Popovice (úsek 3.62km) v 11:42 <a href='https://www.cd.cz/vlak/7807' target='_blank'>info</a>
48.856114,17.121586,Os2708,Stojí ve stanici v 11:51 <a href='https://www.cd.cz/vlak/2708' target='_blank'>info</a>
48.990703,17.329473,R807,Jede do Moravský Písek zastávka (úsek 1.8km) v 11:54 <a href='https://www.cd.cz/vlak/807' target='_blank'>info</a>
50.239053,14.203388,Os9707,Jede do Kamenný Most u Kralup nad Vltavou (úsek 1.83km) v 11:50 <a href='https://www.cd.cz/vlak/9707' target='_blank'>info</a>
49.427171,14.898482,Os18406,Jede do Pořín (úsek 6.69km) v 11:48 <a href='https://www.cd.cz/vlak/18406' target='_blank'>info</a>
50.035808,15.523065,R889,Jede do Lhota pod Přeloučí (úsek 3.42km) v 11:49 <a href='https://www.cd.cz/vlak/889' target='_blank'>info</a>
50.294144,15.848069,R928,Jede do Smiřice zastávka (úsek 1.19km) v 11:54 <a href='https://www.cd.cz/vlak/928' target='_blank'>info</a>
50.183545,14.528408,Os9509,Jede do Hovorčovice (úsek 3.19km) v 11:49 <a href='https://www.cd.cz/vlak/9509' target='_blank'>info</a>
50.042108,14.462672,Os9010,Jede do Praha-Vršovice st.2 (úsek 4.28km) v 11:52 <a href='https://www.cd.cz/vlak/9010' target='_blank'>info</a>
50.679775,14.648321,Os6607,Jede do Božíkov (úsek 1.19km) v 11:49 <a href='https://www.cd.cz/vlak/6607' target='_blank'>info</a>
49.745609,13.562115,SC512,Jede do Klabava (úsek 4.07km) v 11:51 <a href='https://www.cd.cz/vlak/512' target='_blank'>info</a>
49.539783,17.643251,Ex128,Jede do Lipník nad Bečvou (úsek 8.28km) v 11:52 <a href='https://www.cd.cz/vlak/128' target='_blank'>info</a>
49.190848,16.613552,Os4112,Stojí ve stanici v 11:52 <a href='https://www.cd.cz/vlak/4112' target='_blank'>info</a>
